P1,P2,P3,P4
9.134376640238754064e+00,5.354354710214991542e+01,-9.146029884454195269e+01,-5.363949875323481109e+01
1.024988631971262798e+01,5.312281049102288222e+01,-9.060881133711535540e+01,-5.397847915390755702e+01
1.139230662901872293e+01,5.269192400185603020e+01,-8.973678248832636939e+01,-5.432563714035183722e+01
1.255394881677641195e+01,5.225378759980358012e+01,-8.885008125284996083e+01,-5.467863625949007655e+01
1.372712413160505385e+01,5.181130125001978115e+01,-8.795457658536111012e+01,-5.503514005824469990e+01
1.490414382212401101e+01,5.136736491765886825e+01,-8.705613744053476921e+01,-5.539281208353810371e+01
1.607731913695265291e+01,5.092487856787506928e+01,-8.616063277304591850e+01,-5.574931588229272705e+01
1.723896132471034193e+01,5.048674216582261920e+01,-8.527393153756950994e+01,-5.610231500143096639e+01
1.838138163401644221e+01,5.005585567665576718e+01,-8.440190268878052393e+01,-5.644947298787525369e+01
1.949689131349031257e+01,4.963511906552873398e+01,-8.355041518135392664e+01,-5.678845338854799252e+01
2.057780161175132605e+01,4.922743229759576167e+01,-8.272533796996468425e+01,-5.711691975037160773e+01
2.161642377741884857e+01,4.883569533801109230e+01,-8.193254000928777714e+01,-5.743253562026851711e+01
2.260506905911223541e+01,4.846280815192894664e+01,-8.117789025399814307e+01,-5.773296454516113130e+01
2.353604870545086314e+01,4.811167070450357386e+01,-8.046725765877077663e+01,-5.801587007197186807e+01
2.440167396505407282e+01,4.778518296088920181e+01,-7.980651117828064400e+01,-5.827891574762314519e+01
2.519425608654125881e+01,4.748624488624007256e+01,-7.920151976720269715e+01,-5.851976511903737332e+01
2.590610631853176216e+01,4.721775644571042108e+01,-7.865815238021191647e+01,-5.873608173313698444e+01
2.652953590964495945e+01,4.698261760445447521e+01,-7.818227797198326812e+01,-5.892552913684437499e+01
2.705685610850021661e+01,4.678372832762646993e+01,-7.777976549719171828e+01,-5.908577087708198405e+01
2.748037816371689246e+01,4.662398858038065441e+01,-7.745648391051223314e+01,-5.921447050077220808e+01
2.779241332391435293e+01,4.650629832787125650e+01,-7.721830216661979307e+01,-5.930929155483747195e+01
2.798527283771196394e+01,4.643355753525250407e+01,-7.707108922018935004e+01,-5.936789758620019342e+01
2.805126795372908077e+01,4.640866616767865338e+01,-7.702071402589587024e+01,-5.938795214178278314e+01
2.754999999999998295e+01,4.545999999999999375e+01,-7.856000000000001648e+01,-5.945000000000001705e+01
2.755120421222701665e+01,4.542322699093760718e+01,-7.855596723073338694e+01,-5.941113381268240090e+01
2.755472331786135953e+01,4.531576411979411745e+01,-7.854418214773087925e+01,-5.929755398372508068e+01
2.756041702033287066e+01,4.514189562063505434e+01,-7.852511458818864298e+01,-5.911378861262138429e+01
2.756814502307141268e+01,4.490590572752594056e+01,-7.849923438930275665e+01,-5.886436579886462539e+01
2.757776702950684111e+01,4.461207867453229170e+01,-7.846701138826935562e+01,-5.855381364194811056e+01
2.758914274306902215e+01,4.426469869571963045e+01,-7.842891542228453261e+01,-5.818666024136516057e+01
2.760213186718780776e+01,4.386805002515347240e+01,-7.838541632854442298e+01,-5.776743369660908911e+01
2.761659410529306768e+01,4.342641689689934736e+01,-7.833698394424511946e+01,-5.730066210717321695e+01
2.763238916081465391e+01,4.294408354502277092e+01,-7.828408810658274319e+01,-5.679087357255084356e+01
2.764937673718242905e+01,4.242533420358926577e+01,-7.822719865275341533e+01,-5.624259619223529683e+01
2.766741653782625221e+01,4.187445310666435461e+01,-7.816678541995324281e+01,-5.566035806571989042e+01
2.768636826617598601e+01,4.129572448831356013e+01,-7.810331824537833256e+01,-5.504868729249793802e+01
2.770609162566149308e+01,4.069343258260239082e+01,-7.803726696622480574e+01,-5.441211197206275330e+01
2.772644631971262541e+01,4.007186162359638359e+01,-7.796910141968876928e+01,-5.375516020390764993e+01
2.774729205175924918e+01,3.943529584536105403e+01,-7.789929144296633012e+01,-5.308236008752594870e+01
2.776848852523122346e+01,3.878801948196191773e+01,-7.782830687325360941e+01,-5.239823972241095618e+01
2.778989544355840380e+01,3.813431676746450449e+01,-7.775661754774672829e+01,-5.170732720805599314e+01
2.781137251017065992e+01,3.747847193593432280e+01,-7.768469330364179370e+01,-5.101415064395436616e+01
2.783277942849784026e+01,3.682476922143690956e+01,-7.761300397813491259e+01,-5.032323812959940312e+01
2.785397590196981454e+01,3.617749285803777326e+01,-7.754201940842219187e+01,-4.963911776448441060e+01
2.787482163401643831e+01,3.554092707980244370e+01,-7.747220943169975271e+01,-4.896631764810270226e+01
